,text,inputs,prediction,prediction_agent,annotation,annotation_agent,multi_label,explanation,id,metadata,status,event_timestamp,metrics,search_keywords
82,,"{'id': 'recipe:86710', 'definition': 'spatzle', 'ingredients': ""['ind:AllPurposeFlour', 'ind:Butter', 'ind:ChickenEgg', 'ind:CowMilk', 'ind:Salt']"", 'type': 'nom:Noodle'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,44af1687-f5d7-4ce0-91eb-89c1a1683978,"{'ingredients': ['AllPurposeFlour', 'Butter', 'ChickenEgg', 'CowMilk', 'Salt'], 'type': 'nom:Noodle'}",Default,,{'text_length': 114},
173,,"{'id': 'recipe:139338', 'definition': 'butter crust', 'ingredients': ""['ind:AllPurposeFlour', 'ind:Butter', 'ind:WhiteSugar']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,9b9c2441-ca6f-4990-8853-5f12b1bfd88f,"{'ingredients': ['AllPurposeFlour', 'Butter', 'WhiteSugar'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 93},
88,,"{'id': 'recipe:78459', 'definition': 'ukrainian lokshyna  egg noodles', 'ingredients': ""['ind:AllPurposeFlour', 'ind:ChickenEgg', 'ind:Salt', 'ind:Water']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,49caa2fe-1f9a-47f6-8b74-348bc42642b2,"{'ingredients': ['AllPurposeFlour', 'ChickenEgg', 'Salt', 'Water'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 122},
176,,"{'id': 'recipe:161962', 'definition': 'browned flour', 'ingredients': ""['ind:AllPurposeFlour', 'ind:BlackPepper', 'ind:Salt']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,9c336255-2965-44b5-ac39-4d9defdd8773,"{'ingredients': ['AllPurposeFlour', 'BlackPepper', 'Salt'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 93},
145,,"{'id': 'recipe:327593', 'definition': 'anytime crepes', 'ingredients': ""['ind:ChickenEgg', 'ind:CowMilk', 'ind:WholeWheatFlour']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,8522c895-5ca8-49a9-b027-a7c5895175e8,"{'ingredients': ['ChickenEgg', 'CowMilk', 'WholeWheatFlour'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 96},
240,,"{'id': 'recipe:235671', 'definition': 'perfect hard boiled eggs', 'ingredients': ""['ind:ChickenEgg', 'ind:Salt', 'ind:Water']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,d475b1a7-0d57-4d54-a2b8-3c9da08c7733,"{'ingredients': ['ChickenEgg', 'Salt', 'Water'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 93},
101,,"{'id': 'recipe:441475', 'definition': 'swiss spaetzle  very easy homemade noodle', 'ingredients': ""['ind:AllPurposeFlour', 'ind:ChickenEgg', 'ind:CowMilk', 'ind:Salt', 'ind:Water']"", 'type': 'nom:Noodle'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,5694311b-5f09-475f-97b0-542e70f534e0,"{'ingredients': ['AllPurposeFlour', 'ChickenEgg', 'CowMilk', 'Salt', 'Water'], 'type': 'nom:Noodle'}",Default,,{'text_length': 148},
59,,"{'id': 'recipe:261361', 'definition': 'german dumplings  spaetzle or kniffles  for soup or saute', 'ingredients': ""['ind:AllPurposeFlour', 'ind:ChickenEgg', 'ind:Salt', 'ind:Water']"", 'type': 'nom:Noodle'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,3211cab9-c66b-48c0-8f64-c4170a320d39,"{'ingredients': ['AllPurposeFlour', 'ChickenEgg', 'Salt', 'Water'], 'type': 'nom:Noodle'}",Default,,{'text_length': 149},
115,,"{'id': 'recipe:503199', 'definition': 'easy swedish pancakes', 'ingredients': ""['ind:AllPurposeFlour', 'ind:Butter', 'ind:ChickenEgg', 'ind:CowMilk', 'ind:Salt', 'ind:WhiteSugar']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,6747eb5e-9f3e-465d-8c64-d2304ae5368f,"{'ingredients': ['AllPurposeFlour', 'Butter', 'ChickenEgg', 'CowMilk', 'Salt', 'WhiteSugar'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 147},
235,,"{'id': 'recipe:23715', 'definition': 'silky vanilla butter frosting', 'ingredients': ""['ind:AllPurposeFlour', 'ind:Butter', 'ind:CowMilk', 'ind:VanillaExtract', 'ind:WhiteSugar']"", 'type': 'wtm:Recipe'}","[('Bitter', 0.0), ('Meaty', 0.0), ('Piquant', 0.0), ('Salty', 0.0), ('Sour', 0.0), ('Sweet', 0.0)]",kglab_tutorial,,,True,,d0433358-e105-4cb3-9d2a-304982840bd9,"{'ingredients': ['AllPurposeFlour', 'Butter', 'CowMilk', 'VanillaExtract', 'WhiteSugar'], 'type': 'wtm:Recipe'}",Default,,{'text_length': 146},
